owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
Kinnara,ModernWpf,3822,413,82,False,False,"[{'name': 'C#', 'size': 3555198}]",1,"[{'name': 'wpf', 'stars': 367}, {'name': 'xaml', 'stars': 59}, {'name': 'csharp', 'stars': 64451}, {'name': 'fluent-design', 'stars': 85}, {'name': 'winui', 'stars': 46}, {'name': 'windows', 'stars': 34209}, {'name': 'desktop', 'stars': 119}]",7,11886,82,450,Modern styles and controls for your WPF applications,C#,2019-10-18T15:08:32Z,2023-07-14T10:09:09Z,813.0,MIT License,1,,True,Kinnara/ModernWpf,,11
RayWangQvQ,BiliBiliToolPro,3821,1522,27,False,False,"[{'name': 'C#', 'size': 361627}, {'name': 'Shell', 'size': 23921}, {'name': 'Go', 'size': 22991}, {'name': 'Batchfile', 'size': 2805}, {'name': 'Dockerfile', 'size': 2215}, {'name': 'Smarty', 'size': 1842}, {'name': 'Makefile', 'size': 1802}, {'name': 'PowerShell', 'size': 536}]",8,"[{'name': 'bilibili', 'stars': 115}, {'name': 'netcore', 'stars': 64}]",2,8657,74,460,B 站（bilibili）自动任务工具，支持docker、青龙、k8s等多种部署方式。敏感肌也能用。,C#,2021-12-08T14:57:45Z,2023-08-16T20:47:01Z,985.0,MIT License,1,,True,RayWangQvQ/BiliBiliToolPro,,32
ethereum-boilerplate,ethereum-boilerplate,3821,3020,68,False,False,"[{'name': 'TypeScript', 'size': 32851}, {'name': 'JavaScript', 'size': 392}]",2,"[{'name': 'ethereum-boilerplate', 'stars': 3}, {'name': 'ethereum', 'stars': 29566}, {'name': 'dapp-boilerplate', 'stars': 2}, {'name': 'ethereum-client', 'stars': 5}, {'name': 'moralis', 'stars': 8}, {'name': 'polygon-boilerplate', 'stars': 1}, {'name': 'bsc-boilerplate', 'stars': 3}, {'name': 'dapp-example', 'stars': 7}, {'name': 'ethereum-react', 'stars': 2}, {'name': 'react', 'stars': 95607}]",13,97781,204,87,"The ultimate NextJS Ethereum Dapp Boilerplate which gives you maximum flexibility and speed. Feel free to fork and contribute. Although this repo is called ""Ethereum Boilerplate"" it works with any EVM system and since it uses Moralis SDK You can even use it on Solana!  Happy BUIDL!👷‍♂️",TypeScript,2021-10-14T13:28:16Z,2023-07-24T01:18:40Z,157.0,MIT License,5,,True,ethereum-boilerplate/ethereum-boilerplate,,11
facebook,fbt,3820,190,43,False,False,"[{'name': 'JavaScript', 'size': 1785740}, {'name': 'CSS', 'size': 10516}, {'name': 'Java', 'size': 6263}, {'name': 'Ruby', 'size': 1438}, {'name': 'Objective-C++', 'size': 1291}, {'name': 'Shell', 'size': 1223}, {'name': 'Objective-C', 'size': 706}, {'name': 'TypeScript', 'size': 443}, {'name': 'HTML', 'size': 223}]",9,"[{'name': 'javascript', 'stars': 163762}, {'name': 'internationalization', 'stars': 9}, {'name': 'i18n', 'stars': 32}, {'name': 'framework', 'stars': 31819}]",4,14632,257,98,A JavaScript Internationalization Framework,JavaScript,2018-08-01T17:39:49Z,2023-08-03T22:25:01Z,1186.0,MIT License,133,Contributor Covenant,True,facebook/fbt,,98
udacity,machine-learning,3820,6395,435,False,True,"[{'name': 'Jupyter Notebook', 'size': 3301441}, {'name': 'Python', 'size': 98033}]",2,[],0,36346,318,85,Content for Udacity's Machine Learning curriculum,Jupyter Notebook,2016-01-26T18:41:03Z,2022-02-24T12:14:00Z,449.0,,6,,True,udacity/machine-learning,,32
doctrine,persistence,3820,54,22,False,False,"[{'name': 'PHP', 'size': 179839}]",1,"[{'name': 'persistence', 'stars': 9}, {'name': 'hacktoberfest', 'stars': 26060}]",2,1411,282,52,The Doctrine Persistence project is a library that provides common abstractions for object mapper persistence.,PHP,2018-06-06T16:04:51Z,2023-07-29T16:15:24Z,953.0,MIT License,25,,True,doctrine/persistence,,79
zalo,MathUtilities,3820,377,183,False,False,"[{'name': 'C#', 'size': 414710}, {'name': 'ShaderLab', 'size': 28278}, {'name': 'GLSL', 'size': 24541}, {'name': 'Python', 'size': 5711}]",4,"[{'name': 'kalman-filter', 'stars': 42}, {'name': 'neat', 'stars': 2}, {'name': 'unity', 'stars': 39427}, {'name': 'unity3d', 'stars': 310}, {'name': 'physics', 'stars': 440}, {'name': 'utilities', 'stars': 58}, {'name': 'math', 'stars': 325}, {'name': 'motion', 'stars': 19}, {'name': 'camera', 'stars': 56}]",9,1478,2,3,A collection of some of the neat math and physics tricks that I've collected over the last few years.,C#,2017-02-11T22:45:15Z,2023-06-27T07:04:27Z,175.0,The Unlicense,2,,True,zalo/MathUtilities,,3
hktalent,scan4all,3820,456,51,False,False,"[{'name': 'Go', 'size': 1724545}, {'name': 'Shell', 'size': 24195}, {'name': 'JavaScript', 'size': 614}, {'name': 'Ruby', 'size': 548}, {'name': 'Batchfile', 'size': 199}, {'name': 'Java', 'size': 32}]",6,"[{'name': 'attack', 'stars': 56}, {'name': 'auto', 'stars': 12}, {'name': 'golang', 'stars': 1856}, {'name': 'hacker', 'stars': 87}, {'name': 'tools', 'stars': 180}, {'name': 'nuclei', 'stars': 12}, {'name': 'bugbounty', 'stars': 397}, {'name': 'bugbounty-tools', 'stars': 4}, {'name': 'hacktools', 'stars': 30}, {'name': 'pentest-tool', 'stars': 137}]",20,53141,17,82,"Official repository  vuls Scan: 15000+PoCs; 23 kinds of application password crack; 7000+Web fingerprints; 146 protocols and 90000+ rules Port scanning; Fuzz, HW, awesome BugBounty( ͡° ͜ʖ ͡°)...",Go,2022-06-20T03:11:08Z,2023-08-18T00:11:56Z,705.0,"BSD 3-Clause ""New"" or ""Revised"" License",1,,True,hktalent/scan4all,,3
spencermountain,spacetime,3820,194,29,False,False,"[{'name': 'JavaScript', 'size': 2011734}, {'name': 'TypeScript', 'size': 5177}, {'name': 'HTML', 'size': 1256}]",3,"[{'name': 'date-formatting', 'stars': 2}, {'name': 'time-formatting', 'stars': 0}, {'name': 'timezone', 'stars': 6}, {'name': 'timezones', 'stars': 1}, {'name': 'timezone-conversion', 'stars': 2}, {'name': 'daylight-savings', 'stars': 0}]",6,6768,186,208,A lightweight javascript timezone library,JavaScript,2017-02-22T15:31:34Z,2023-08-09T18:44:51Z,1204.0,Other,1,,True,spencermountain/spacetime,,47
distribworks,dkron,3820,353,89,False,False,"[{'name': 'Go', 'size': 324454}, {'name': 'JavaScript', 'size': 73589}, {'name': 'TypeScript', 'size': 40139}, {'name': 'SCSS', 'size': 11497}, {'name': 'HTML', 'size': 9550}, {'name': 'CSS', 'size': 4094}, {'name': 'Shell', 'size': 3197}, {'name': 'Makefile', 'size': 2724}, {'name': 'Jinja', 'size': 1975}, {'name': 'Dockerfile', 'size': 233}]",10,"[{'name': 'scheduled-jobs', 'stars': 9}, {'name': 'fault-tolerance', 'stars': 15}, {'name': 'cron', 'stars': 17}, {'name': 'distributed-systems', 'stars': 345}]",4,106988,815,546,"Dkron - Distributed, fault tolerant job scheduling system https://dkron.io",Go,2015-06-10T08:13:17Z,2023-08-10T09:06:43Z,2522.0,GNU Lesser General Public License v3.0,4,Contributor Covenant,True,distribworks/dkron,,61
xitu,tensorflow-docs,3820,481,180,False,False,"[{'name': 'Jupyter Notebook', 'size': 306693}, {'name': 'HTML', 'size': 15368}]",2,"[{'name': 'tensorflow', 'stars': 35637}, {'name': 'documentation', 'stars': 22238}, {'name': 'machine-learning', 'stars': 72588}]",3,4785,80,69,TensorFlow 最新官方文档中文版,Jupyter Notebook,2018-03-08T09:39:54Z,2019-04-17T08:38:29Z,1040.0,,6,,True,xitu/tensorflow-docs,,27
buriburisuri,speech-to-text-wavenet,3819,796,200,False,False,"[{'name': 'Python', 'size': 17904}, {'name': 'Dockerfile', 'size': 1038}]",2,[],0,254,10,116,Speech-to-Text-WaveNet : End-to-end sentence level English speech recognition based on DeepMind's WaveNet and tensorflow,Python,2016-11-14T02:54:01Z,2021-10-08T10:12:58Z,28.0,Apache License 2.0,1,,True,buriburisuri/speech-to-text-wavenet,,4
anthonynsimon,bild,3819,231,75,False,False,"[{'name': 'Go', 'size': 322240}, {'name': 'Makefile', 'size': 1131}, {'name': 'Shell', 'size': 786}]",3,"[{'name': 'algorithm', 'stars': 100620}, {'name': 'parallelism', 'stars': 10}, {'name': 'histogram', 'stars': 1}, {'name': 'image-processing', 'stars': 1300}, {'name': 'signal-processing', 'stars': 83}, {'name': 'effects', 'stars': 15}, {'name': 'image-editing', 'stars': 12}, {'name': 'go', 'stars': 58453}, {'name': 'concurrency', 'stars': 51}, {'name': 'resize', 'stars': 5}]",10,9273,55,43,Image processing algorithms in pure Go,Go,2016-08-01T15:54:29Z,2023-07-10T07:44:19Z,303.0,MIT License,1,,True,anthonynsimon/bild,,16
alexlenail,NN-SVG,3819,484,52,False,False,"[{'name': 'JavaScript', 'size': 96619}, {'name': 'HTML', 'size': 67691}, {'name': 'TeX', 'size': 941}]",3,"[{'name': 'machine-learning', 'stars': 72588}, {'name': 'deep-learning', 'stars': 70567}, {'name': 'diagrams', 'stars': 47}, {'name': 'drawing', 'stars': 84}, {'name': 'd3', 'stars': 61}, {'name': 'neural-network', 'stars': 1942}, {'name': 'svg', 'stars': 153}, {'name': 'threejs', 'stars': 272}]",8,372,17,40,Publication-ready NN-architecture schematics. ,JavaScript,2015-12-17T06:43:51Z,2023-06-01T10:01:09Z,58.0,MIT License,1,,True,alexlenail/NN-SVG,,6
lief-project,LIEF,3819,561,126,False,False,"[{'name': 'C++', 'size': 5430094}, {'name': 'Python', 'size': 797465}, {'name': 'SourcePawn', 'size': 152663}, {'name': 'CMake', 'size': 132209}, {'name': 'C', 'size': 128493}, {'name': 'Shell', 'size': 24174}, {'name': 'Objective-C', 'size': 736}, {'name': 'Makefile', 'size': 440}]",8,"[{'name': 'reverse-engineering', 'stars': 841}, {'name': 'malware-analysis', 'stars': 195}, {'name': 'binary-analysis', 'stars': 86}, {'name': 'parser', 'stars': 73}, {'name': 'modification', 'stars': 7}, {'name': 'executable-formats', 'stars': 2}, {'name': 'elf', 'stars': 18}, {'name': 'macho', 'stars': 5}, {'name': 'pe', 'stars': 6}, {'name': 'lief', 'stars': 0}]",18,71932,244,694,LIEF - Library to Instrument Executable Formats,C++,2017-03-16T14:34:53Z,2023-08-16T16:41:53Z,1795.0,Apache License 2.0,2,,True,lief-project/LIEF,,109
sds,overcommit,3818,277,87,False,False,"[{'name': 'Ruby', 'size': 733582}, {'name': 'Shell', 'size': 6284}]",2,[],0,2965,383,429,A fully configurable and extendable Git hook manager,Ruby,2011-03-24T09:56:15Z,2023-03-27T17:28:20Z,1642.0,MIT License,3,,True,sds/overcommit,,117
blakeembrey,code-problems,3818,586,177,False,False,"[{'name': 'JavaScript', 'size': 73464}, {'name': 'Java', 'size': 35596}, {'name': 'C', 'size': 28095}, {'name': 'C++', 'size': 19386}, {'name': 'Python', 'size': 17225}, {'name': 'CoffeeScript', 'size': 16257}, {'name': 'PHP', 'size': 5685}, {'name': 'Ruby', 'size': 5396}, {'name': 'Go', 'size': 5198}, {'name': 'C#', 'size': 4162}]",14,[],0,2175,173,21,Common code and interview problems solved in multiple languages,JavaScript,2013-05-22T19:19:29Z,2023-01-03T12:26:16Z,436.0,MIT License,2,,True,blakeembrey/code-problems,,59
spacecloud-io,space-cloud,3818,212,57,False,False,"[{'name': 'Go', 'size': 4547446}, {'name': 'Scala', 'size': 59245}, {'name': 'Shell', 'size': 10941}, {'name': 'PowerShell', 'size': 3841}, {'name': 'Dockerfile', 'size': 2457}]",5,"[{'name': 'serverless', 'stars': 15053}, {'name': 'database', 'stars': 82137}, {'name': 'graphql', 'stars': 26650}, {'name': 'kubernetes', 'stars': 37442}, {'name': 'firebase', 'stars': 30441}, {'name': 'mysql', 'stars': 61815}, {'name': 'postgres', 'stars': 125}, {'name': 'mongodb', 'stars': 32384}, {'name': 'microservice', 'stars': 248}, {'name': 'microservices', 'stars': 378}]",15,69633,832,845,"Open source Firebase + Heroku to develop, scale and secure serverless apps on Kubernetes",Go,2019-02-09T06:06:58Z,2023-08-13T12:35:28Z,1577.0,Apache License 2.0,6,Contributor Covenant,True,spacecloud-io/space-cloud,,31
GameServerManagers,LinuxGSM,3817,776,139,False,False,"[{'name': 'Shell', 'size': 1488735}, {'name': 'Python', 'size': 11158}]",2,"[{'name': 'shell', 'stars': 22608}, {'name': 'gaming', 'stars': 464}, {'name': 'bash', 'stars': 47180}, {'name': 'linux', 'stars': 106625}, {'name': 'game', 'stars': 2177}, {'name': 'gameserver', 'stars': 28}, {'name': 'game-server', 'stars': 226}, {'name': 'game-servers', 'stars': 5}, {'name': 'dedicated-game-servers', 'stars': 1}, {'name': 'linuxgsm', 'stars': 2}]",12,26193,1269,2685,"The command-line tool for quick, simple deployment and management of Linux dedicated game servers.",Shell,2013-08-09T12:37:43Z,2023-08-15T22:25:42Z,6393.0,MIT License,12,Contributor Covenant,True,GameServerManagers/LinuxGSM,,190
mullvad,mullvadvpn-app,3817,292,69,False,False,"[{'name': 'Rust', 'size': 2335143}, {'name': 'Swift', 'size': 1402071}, {'name': 'TypeScript', 'size': 1023141}, {'name': 'Kotlin', 'size': 1017841}, {'name': 'C++', 'size': 268554}, {'name': 'Shell', 'size': 111774}, {'name': 'JavaScript', 'size': 27080}, {'name': 'NSIS', 'size': 23827}, {'name': 'Python', 'size': 22326}, {'name': 'C', 'size': 17462}]",17,"[{'name': 'rust', 'stars': 36382}, {'name': 'electron', 'stars': 23645}, {'name': 'openvpn', 'stars': 54}, {'name': 'nodejs', 'stars': 74528}, {'name': 'vpn', 'stars': 379}, {'name': 'wireguard', 'stars': 123}]",6,105291,4162,837,The Mullvad VPN client app for desktop and mobile,Rust,2017-12-19T08:59:42Z,2023-08-18T09:38:20Z,17819.0,GNU General Public License v3.0,20,,True,mullvad/mullvadvpn-app,,61
openMVG,awesome_3DReconstruction_list,3816,853,303,False,False,[],0,"[{'name': 'computer-vision', 'stars': 1900}, {'name': '3d-reconstruction', 'stars': 222}, {'name': 'motion-estimation', 'stars': 12}, {'name': 'awesome-list', 'stars': 1707}, {'name': 'stereo-vision', 'stars': 20}, {'name': 'multiple-view-geometry', 'stars': 12}, {'name': 'opensource', 'stars': 156}]",7,113,31,12,A curated list of papers & resources linked to 3D reconstruction from images.,,2016-08-18T12:22:32Z,2021-10-12T04:37:11Z,64.0,,1,,True,openMVG/awesome_3DReconstruction_list,,13
IridiumIO,CompactGUI,3816,204,87,False,False,"[{'name': 'Visual Basic .NET', 'size': 82013}]",1,"[{'name': 'compression', 'stars': 43}, {'name': 'standalone', 'stars': 13}, {'name': 'windows', 'stars': 34209}, {'name': 'game', 'stars': 2177}, {'name': 'compressing-folders', 'stars': 1}, {'name': 'windows-10', 'stars': 218}, {'name': 'vbnet', 'stars': 18}, {'name': 'dotnet6', 'stars': 22}, {'name': 'wpf', 'stars': 367}, {'name': 'windows11', 'stars': 123}]",10,2735,14,308,Transparently compress active games and programs using Windows 10/11 APIs,Visual Basic .NET,2017-10-12T08:23:14Z,2022-12-29T04:26:57Z,311.0,GNU General Public License v3.0,1,,True,IridiumIO/CompactGUI,,5
creationix,js-git,3816,295,199,False,False,"[{'name': 'JavaScript', 'size': 112310}]",1,[],0,787,35,111,A JavaScript implementation of Git.,JavaScript,2013-03-30T16:53:24Z,2021-11-06T16:38:31Z,561.0,MIT License,3,,True,creationix/js-git,,23
a16z-infra,ai-town,3815,230,39,False,False,"[{'name': 'TypeScript', 'size': 182155}, {'name': 'JavaScript', 'size': 6579}, {'name': 'CSS', 'size': 3176}, {'name': 'Dockerfile', 'size': 1131}]",4,[],0,9517,78,35,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.",TypeScript,2023-07-16T04:27:43Z,2023-08-18T07:22:22Z,692.0,MIT License,8,,True,a16z-infra/ai-town,,35
chenyuntc,simple-faster-rcnn-pytorch,3815,1143,55,False,False,"[{'name': 'Jupyter Notebook', 'size': 702855}, {'name': 'Python', 'size': 112050}]",2,"[{'name': 'pytorch', 'stars': 1036}, {'name': 'object-detection', 'stars': 234}, {'name': 'faster-rcnn', 'stars': 13}, {'name': 'voc', 'stars': 0}, {'name': 'visdom', 'stars': 2}, {'name': 'pythonic', 'stars': 9}, {'name': 'cupy', 'stars': 3}]",7,2189,8,244,A simplified implemention of Faster R-CNN that replicate performance from origin paper,Jupyter Notebook,2017-12-09T13:13:54Z,2021-05-15T07:10:53Z,84.0,Other,1,,True,chenyuntc/simple-faster-rcnn-pytorch,,2
geerlingguy,internet-pi,3814,402,67,False,False,"[{'name': 'Jinja', 'size': 20757}]",1,[],0,290,68,441,Raspberry Pi config for all things Internet.,Jinja,2021-04-04T03:38:43Z,2023-08-17T00:46:38Z,100.0,MIT License,1,,True,geerlingguy/internet-pi,,20
Scanate,EthList,3814,471,268,False,False,[],0,"[{'name': 'ethereum', 'stars': 29566}, {'name': 'reading-list', 'stars': 25}, {'name': 'ethereum-dapp', 'stars': 39}, {'name': 'blockchain', 'stars': 6329}, {'name': 'smartcontracts', 'stars': 51}, {'name': 'bitcoin', 'stars': 63312}, {'name': 'cryptocurrency', 'stars': 28873}, {'name': 'ethereum-contract', 'stars': 38}, {'name': 'ethereum-token', 'stars': 14}, {'name': 'ethereum-client', 'stars': 5}]",13,183,52,7,The Comprehensive Ethereum Reading List,,2017-04-16T22:43:20Z,2023-06-26T06:58:25Z,151.0,,2,,True,Scanate/EthList,,37
Sentdex,pygta5,3814,830,195,False,False,"[{'name': 'Python', 'size': 319220}]",1,[],0,249043,47,126,Explorations of Using Python to play Grand Theft Auto 5.,Python,2017-04-05T13:44:54Z,2023-03-08T07:06:53Z,97.0,MIT License,2,,True,Sentdex/pygta5,,7
ineo6,hosts,3814,366,56,False,False,"[{'name': 'TypeScript', 'size': 21203}, {'name': 'JavaScript', 'size': 134}]",2,"[{'name': 'github', 'stars': 1311}, {'name': 'hosts', 'stars': 34}, {'name': 'hosts-file', 'stars': 6}]",3,5192,6,33,GitHub最新hosts。解决GitHub图片无法显示，加速GitHub网页浏览。,TypeScript,2021-03-28T08:19:26Z,2023-08-18T08:12:10Z,10276.0,MIT License,1,,True,ineo6/hosts,,4
JohnEstropia,CoreStore,3813,252,76,False,False,"[{'name': 'Swift', 'size': 2284454}, {'name': 'Ruby', 'size': 1613}, {'name': 'Objective-C', 'size': 1351}]",3,"[{'name': 'swift', 'stars': 28534}, {'name': 'coredata', 'stars': 10}, {'name': 'core-data', 'stars': 2}, {'name': 'swift-package-manager', 'stars': 36}, {'name': 'cocoapods', 'stars': 41}, {'name': 'carthage', 'stars': 14}]",6,14932,68,418,Unleashing the real power of Core Data with the elegance and safety of Swift,Swift,2014-12-14T12:26:04Z,2023-07-18T07:02:47Z,1183.0,MIT License,2,,True,JohnEstropia/CoreStore,,28
microsoft,CBL-Mariner,3813,437,129,False,False,"[{'name': 'RPM Spec', 'size': 27579700}, {'name': 'Go', 'size': 1163699}, {'name': 'Shell', 'size': 847492}, {'name': 'C++', 'size': 599119}, {'name': 'C', 'size': 343098}, {'name': 'Python', 'size': 233318}, {'name': 'Java', 'size': 204320}, {'name': 'Roff', 'size': 164828}, {'name': 'TeX', 'size': 149649}, {'name': 'HTML', 'size': 116746}]",26,[],0,263040,5807,194,Linux OS for Azure 1P services and edge appliances,RPM Spec,2020-07-22T19:27:14Z,2023-08-18T09:38:34Z,4183.0,MIT License,2320,Other,True,microsoft/CBL-Mariner,,152
FirebaseExtended,firepad,3812,909,175,False,False,"[{'name': 'JavaScript', 'size': 283416}, {'name': 'CSS', 'size': 21241}, {'name': 'CoffeeScript', 'size': 6562}, {'name': 'Shell', 'size': 4536}, {'name': 'HTML', 'size': 1365}]",5,[],0,41031,166,254,Collaborative Text Editor Powered by Firebase,JavaScript,2013-03-26T18:16:29Z,2023-03-25T09:36:46Z,530.0,Other,9,,True,FirebaseExtended/firepad,,46
LiangJunrong,document-library,3811,617,95,False,False,"[{'name': 'CSS', 'size': 9915}, {'name': 'JavaScript', 'size': 2510}]",2,"[{'name': 'vue', 'stars': 57868}, {'name': 'react', 'stars': 95607}, {'name': 'front-end-developer', 'stars': 4}, {'name': 'front-end', 'stars': 177}, {'name': 'jsliang', 'stars': 0}, {'name': 'echarts', 'stars': 29}, {'name': 'node', 'stars': 603}, {'name': 'docker', 'stars': 74045}, {'name': 'interview', 'stars': 243}, {'name': 'interview-questions', 'stars': 240}]",10,386899,7,62,"jsliang 的文档库. 里面包含了个人撰写的所有前端文章，例如 Vue、React,、ECharts、微信小程序、算法、数据结构等……",CSS,2018-08-20T02:05:39Z,2023-08-08T13:56:30Z,10203.0,,1,,True,LiangJunrong/document-library,,4
gd3kr,BlenderGPT,3811,268,59,False,False,"[{'name': 'Python', 'size': 2345859}, {'name': 'Cython', 'size': 56075}, {'name': 'Roff', 'size': 7997}, {'name': 'Shell', 'size': 946}]",4,[],0,1964,6,48,Use commands in English to control Blender with OpenAI's GPT-4,Python,2023-03-21T13:46:50Z,2023-06-10T08:11:01Z,32.0,MIT License,1,,True,gd3kr/BlenderGPT,,2
Uniswap,v3-core,3811,2472,127,False,False,"[{'name': 'TypeScript', 'size': 261859}, {'name': 'Solidity', 'size': 244785}]",2,"[{'name': 'ethereum', 'stars': 29566}, {'name': 'smart-contracts', 'stars': 203}, {'name': 'automated-market-maker', 'stars': 5}, {'name': 'core', 'stars': 66}]",4,6521,328,261,🦄 🦄 🦄 Core smart contracts of Uniswap v3,TypeScript,2020-04-29T20:27:00Z,2023-07-27T09:32:43Z,1005.0,Other,17,,True,Uniswap/v3-core,,14
