owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
vuejs,vue,204810,34278,5974,False,False,"[{'name': 'TypeScript', 'size': 1843676}, {'name': 'JavaScript', 'size': 34684}, {'name': 'HTML', 'size': 17826}, {'name': 'CSS', 'size': 11301}, {'name': 'Shell', 'size': 673}]",5,"[{'name': 'vue', 'stars': 57868}, {'name': 'javascript', 'stars': 163762}, {'name': 'frontend', 'stars': 49235}, {'name': 'framework', 'stars': 31818}]",4,31925,2436,9987,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,2013-07-29T03:24:51Z,2023-08-17T05:56:01Z,3547.0,MIT License,63,Contributor Covenant,True,vuejs/vue,,357
vinta,awesome-python,177109,23653,5847,False,False,"[{'name': 'Python', 'size': 2959}, {'name': 'Makefile', 'size': 237}]",2,"[{'name': 'awesome', 'stars': 68077}, {'name': 'python', 'stars': 277237}, {'name': 'collections', 'stars': 55}, {'name': 'python-library', 'stars': 275}, {'name': 'python-framework', 'stars': 30}, {'name': 'python-resources', 'stars': 24}]",6,6696,1824,0,"A curated list of awesome Python frameworks, libraries, software and resources",Python,2014-06-27T21:00:06Z,2023-08-10T01:20:33Z,1644.0,Other,1,,True,vinta/awesome-python,,368
tensorflow,tensorflow,176998,88819,7699,False,False,"[{'name': 'C++', 'size': 140015184}, {'name': 'Python', 'size': 45088537}, {'name': 'MLIR', 'size': 12813264}, {'name': 'Starlark', 'size': 8059093}, {'name': 'HTML', 'size': 4686483}, {'name': 'Go', 'size': 2172937}, {'name': 'C', 'size': 1467402}, {'name': 'Java', 'size': 1163172}, {'name': 'Jupyter Notebook', 'size': 792926}, {'name': 'Shell', 'size': 650669}]",27,"[{'name': 'tensorflow', 'stars': 35637}, {'name': 'machine-learning', 'stars': 72587}, {'name': 'python', 'stars': 277237}, {'name': 'deep-learning', 'stars': 70567}, {'name': 'deep-neural-networks', 'stars': 219}, {'name': 'neural-network', 'stars': 1942}, {'name': 'ml', 'stars': 319}, {'name': 'distributed', 'stars': 125}]",8,916555,23275,37770,An Open Source Machine Learning Framework for Everyone,C++,2015-11-07T01:19:20Z,2023-08-18T09:03:38Z,152568.0,Apache License 2.0,432,Other,True,tensorflow/tensorflow,,407
trekhleb,javascript-algorithms,173856,28579,4371,False,False,"[{'name': 'JavaScript', 'size': 707591}, {'name': 'Shell', 'size': 70}]",2,"[{'name': 'javascript', 'stars': 163762}, {'name': 'algorithms', 'stars': 397}, {'name': 'algorithm', 'stars': 100617}, {'name': 'javascript-algorithms', 'stars': 58}, {'name': 'computer-science', 'stars': 487}, {'name': 'interview', 'stars': 243}, {'name': 'data-structures', 'stars': 71595}, {'name': 'interview-preparation', 'stars': 186}]",8,13363,685,325,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,2018-03-24T07:47:04Z,2023-07-31T16:54:21Z,1098.0,MIT License,1,Other,True,trekhleb/javascript-algorithms,,195
getify,You-Dont-Know-JS,170600,32920,5930,False,False,[],0,"[{'name': 'book-series', 'stars': 17}, {'name': 'javascript', 'stars': 163762}, {'name': 'closures', 'stars': 2}, {'name': 'prototypes', 'stars': 4}, {'name': 'async', 'stars': 53}, {'name': 'es6', 'stars': 17777}, {'name': 'es2015', 'stars': 10}, {'name': 'training-materials', 'stars': 34}, {'name': 'book', 'stars': 135}, {'name': 'training-providers', 'stars': 7}]",13,12645,880,913,A book series on JavaScript. @YDKJS on twitter.,,2013-11-16T02:37:24Z,2023-07-18T21:51:23Z,1893.0,Other,4,,True,getify/You-Dont-Know-JS,,177
CyC2018,CS-Notes,166205,50459,5363,False,False,[],0,"[{'name': 'algorithm', 'stars': 100617}, {'name': 'leetcode', 'stars': 191}, {'name': 'interview', 'stars': 243}, {'name': 'computer-science', 'stars': 487}, {'name': 'system-design', 'stars': 142}, {'name': 'java', 'stars': 147835}, {'name': 'python', 'stars': 277237}, {'name': 'cpp', 'stars': 117990}]",8,116179,605,566,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,,2018-02-13T14:56:24Z,2023-08-04T08:30:06Z,3781.0,,1,,True,CyC2018/CS-Notes,,215
twbs,bootstrap,164960,78788,6799,False,False,"[{'name': 'JavaScript', 'size': 877477}, {'name': 'HTML', 'size': 748794}, {'name': 'SCSS', 'size': 370825}, {'name': 'CSS', 'size': 305248}, {'name': 'PowerShell', 'size': 932}]",5,"[{'name': 'css', 'stars': 96882}, {'name': 'bootstrap', 'stars': 80725}, {'name': 'javascript', 'stars': 163762}, {'name': 'html', 'stars': 107963}, {'name': 'scss', 'stars': 129}, {'name': 'css-framework', 'stars': 189}, {'name': 'sass', 'stars': 17696}]",7,236106,14780,22079,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",JavaScript,2011-07-29T21:19:00Z,2023-08-17T14:59:10Z,22550.0,MIT License,21,Contributor Covenant,True,twbs/bootstrap,,361
TheAlgorithms,Python,164864,41293,5953,False,False,"[{'name': 'Python', 'size': 2850038}, {'name': 'Dockerfile', 'size': 406}]",2,"[{'name': 'python', 'stars': 277237}, {'name': 'algorithm', 'stars': 100617}, {'name': 'algorithms-implemented', 'stars': 29}, {'name': 'algorithm-competitions', 'stars': 44}, {'name': 'algos', 'stars': 4}, {'name': 'sorts', 'stars': 2}, {'name': 'searches', 'stars': 5}, {'name': 'sorting-algorithms', 'stars': 36}, {'name': 'education', 'stars': 535}, {'name': 'learn', 'stars': 189}]",14,13824,7183,1286,All Algorithms implemented in Python,Python,2016-07-16T09:44:01Z,2023-08-18T08:06:36Z,2898.0,MIT License,112,Contributor Covenant,True,TheAlgorithms/Python,,456
ohmyzsh,ohmyzsh,161568,25412,2661,False,False,"[{'name': 'Shell', 'size': 1734072}, {'name': 'Python', 'size': 22941}, {'name': 'Makefile', 'size': 1298}]",3,"[{'name': 'shell', 'stars': 22608}, {'name': 'zsh-configuration', 'stars': 40}, {'name': 'theme', 'stars': 168}, {'name': 'terminal', 'stars': 42043}, {'name': 'productivity', 'stars': 296}, {'name': 'zsh', 'stars': 387}, {'name': 'cli', 'stars': 50579}, {'name': 'cli-app', 'stars': 50}, {'name': 'themes', 'stars': 55}, {'name': 'plugins', 'stars': 69}]",16,10685,6910,4523,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",Shell,2009-08-28T18:15:37Z,2023-08-16T11:46:28Z,6946.0,MIT License,4,Contributor Covenant,True,ohmyzsh/ohmyzsh,,391
torvalds,linux,156001,49978,8214,False,False,"[{'name': 'C', 'size': 1210826310}, {'name': 'Assembly', 'size': 9790290}, {'name': 'Shell', 'size': 4308880}, {'name': 'Makefile', 'size': 2484480}, {'name': 'Python', 'size': 2222208}, {'name': 'Perl', 'size': 1240713}, {'name': 'Rust', 'size': 612006}, {'name': 'C++', 'size': 311185}, {'name': 'Roff', 'size': 193387}, {'name': 'SmPL', 'size': 158347}]",21,[],0,4637641,761,0,Linux kernel source tree,C,2011-09-04T22:48:12Z,2023-08-18T07:11:08Z,1201611.0,Other,1,,True,torvalds/linux,,
flutter,flutter,155915,25868,3547,False,False,"[{'name': 'Dart', 'size': 57839320}, {'name': 'C++', 'size': 153912}, {'name': 'Objective-C', 'size': 101574}, {'name': 'CMake', 'size': 92358}, {'name': 'Java', 'size': 86110}, {'name': 'Groovy', 'size': 63836}, {'name': 'Shell', 'size': 51226}, {'name': 'Ruby', 'size': 42715}, {'name': 'JavaScript', 'size': 42655}, {'name': 'HTML', 'size': 32788}]",18,"[{'name': 'mobile', 'stars': 20954}, {'name': 'android', 'stars': 139799}, {'name': 'ios', 'stars': 40513}, {'name': 'material-design', 'stars': 14520}, {'name': 'dart', 'stars': 1659}, {'name': 'skia', 'stars': 30}, {'name': 'web', 'stars': 1630}, {'name': 'web-framework', 'stars': 113}, {'name': 'windows', 'stars': 34209}, {'name': 'macos', 'stars': 33709}]",19,267721,46379,85634,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,2015-03-06T22:54:58Z,2023-08-18T07:14:13Z,36380.0,"BSD 3-Clause ""New"" or ""Revised"" License",233,Other,True,flutter/flutter,,385
github,gitignore,150617,84103,3358,False,False,[],0,"[{'name': 'gitignore', 'stars': 38}, {'name': 'git', 'stars': 75615}]",2,2356,4257,0,A collection of useful .gitignore templates,,2010-11-08T20:17:14Z,2023-08-15T23:24:39Z,3528.0,Creative Commons Zero v1.0 Universal,264,Contributor Covenant,True,github/gitignore,,416
microsoft,vscode,149458,26575,3277,False,False,"[{'name': 'TypeScript', 'size': 46826053}, {'name': 'JavaScript', 'size': 999721}, {'name': 'CSS', 'size': 778874}, {'name': 'Rust', 'size': 421519}, {'name': 'HTML', 'size': 385098}, {'name': 'Inno Setup', 'size': 310198}, {'name': 'Scilab', 'size': 150618}, {'name': 'Shell', 'size': 74491}, {'name': 'Batchfile', 'size': 19511}, {'name': 'PowerShell', 'size': 15063}]",44,"[{'name': 'editor', 'stars': 229}, {'name': 'electron', 'stars': 23645}, {'name': 'visual-studio-code', 'stars': 5329}, {'name': 'typescript', 'stars': 39384}, {'name': 'microsoft', 'stars': 477}]",5,841046,23341,161606,Visual Studio Code,TypeScript,2015-09-03T20:23:38Z,2023-08-18T08:49:47Z,112375.0,MIT License,61,Other,True,microsoft/vscode,,338
ossu,computer-science,147314,18914,5601,False,False,[],0,"[{'name': 'computer-science', 'stars': 487}, {'name': 'awesome-list', 'stars': 1706}, {'name': 'courses', 'stars': 70}, {'name': 'curriculum', 'stars': 72}]",4,1204,399,613,:mortar_board: Path to a free self-taught education in Computer Science!,,2014-05-04T00:18:39Z,2023-08-04T06:17:35Z,998.0,MIT License,3,,True,ossu/computer-science,,137
Significant-Gravitas,Auto-GPT,146714,31778,1556,False,False,"[{'name': 'Python', 'size': 616020}, {'name': 'Dockerfile', 'size': 1678}, {'name': 'Shell', 'size': 919}, {'name': 'JavaScript', 'size': 804}, {'name': 'Batchfile', 'size': 532}]",5,"[{'name': 'ai', 'stars': 5914}, {'name': 'gpt-4', 'stars': 235}, {'name': 'openai', 'stars': 328}, {'name': 'python', 'stars': 277237}, {'name': 'artificial-intelligence', 'stars': 743}, {'name': 'autonomous-agents', 'stars': 49}]",6,11463,2123,1930,An experimental open-source attempt to make GPT-4 fully autonomous.,Python,2023-03-16T09:21:07Z,2023-08-18T03:38:56Z,2298.0,MIT License,31,Other,True,Significant-Gravitas/Auto-GPT,,440
awesome-selfhosted,awesome-selfhosted,143747,8061,2048,False,False,"[{'name': 'Makefile', 'size': 260}]",1,"[{'name': 'selfhosted', 'stars': 149}, {'name': 'awesome', 'stars': 68077}, {'name': 'awesome-list', 'stars': 1706}, {'name': 'privacy', 'stars': 479}, {'name': 'hosting', 'stars': 56}, {'name': 'cloud', 'stars': 432}, {'name': 'self-hosted', 'stars': 555}, {'name': 'free-software', 'stars': 65}]",8,15857,3017,802,A list of Free Software network services and web applications which can be hosted on your own servers,Makefile,2015-06-01T02:33:17Z,2023-08-18T08:39:33Z,6307.0,Other,5,,True,awesome-selfhosted/awesome-selfhosted,,403
jlevy,the-art-of-command-line,138751,13732,2815,False,False,[],0,"[{'name': 'bash', 'stars': 47178}, {'name': 'unix', 'stars': 158}, {'name': 'documentation', 'stars': 22237}, {'name': 'linux', 'stars': 106622}, {'name': 'macos', 'stars': 33709}, {'name': 'windows', 'stars': 34209}]",6,2772,576,237,"Master the command line, in one page",,2015-05-20T15:11:03Z,2023-07-20T15:08:32Z,1218.0,,1,,True,jlevy/the-art-of-command-line,,151
jackfrued,Python-100-Days,138621,49591,6172,False,False,"[{'name': 'Python', 'size': 183200}, {'name': 'HTML', 'size': 165120}, {'name': 'Jupyter Notebook', 'size': 154939}, {'name': 'Java', 'size': 4679}, {'name': 'CSS', 'size': 673}, {'name': 'JavaScript', 'size': 410}]",6,[],0,310266,323,606,Python - 100天从新手到大师,Python,2018-03-01T16:05:52Z,2023-08-14T06:13:11Z,372.0,,3,,True,jackfrued/Python-100-Days,,12
Snailclimb,JavaGuide,136203,44653,4537,False,False,"[{'name': 'Java', 'size': 6293}, {'name': 'Shell', 'size': 59}]",2,"[{'name': 'java', 'stars': 147835}, {'name': 'jvm', 'stars': 67}, {'name': 'interview', 'stars': 243}, {'name': 'redis', 'stars': 396}, {'name': 'spring', 'stars': 1549}, {'name': 'mysql', 'stars': 61814}, {'name': 'zookeeper', 'stars': 37}, {'name': 'algorithms', 'stars': 397}, {'name': 'system', 'stars': 96}, {'name': 'system-design', 'stars': 142}]",10,162410,1150,910,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,Java,2018-05-07T13:27:00Z,2023-08-16T04:10:13Z,4980.0,Apache License 2.0,1,,True,Snailclimb/JavaGuide,,415
airbnb,javascript,135954,25962,3822,False,False,"[{'name': 'JavaScript', 'size': 79512}]",1,"[{'name': 'javascript', 'stars': 163762}, {'name': 'eslint', 'stars': 13419}, {'name': 'naming-conventions', 'stars': 23}, {'name': 'arrow-functions', 'stars': 9}, {'name': 'style-guide', 'stars': 56}, {'name': 'style-linter', 'stars': 6}, {'name': 'es6', 'stars': 17777}, {'name': 'es2015', 'stars': 10}, {'name': 'linting', 'stars': 11}, {'name': 'styleguide', 'stars': 82}]",14,3618,1453,1262,JavaScript Style Guide,JavaScript,2012-11-01T23:13:50Z,2023-08-16T05:28:12Z,1963.0,MIT License,11,Other,True,airbnb/javascript,,404
ytdl-org,youtube-dl,122811,9257,2193,False,False,"[{'name': 'Python', 'size': 6218393}, {'name': 'Shell', 'size': 8791}, {'name': 'Makefile', 'size': 6235}, {'name': 'ActionScript', 'size': 4300}, {'name': 'Batchfile', 'size': 633}]",5,[],0,64633,4864,26290,Command-line program to download videos from YouTube.com and other video sites,Python,2010-10-31T14:35:07Z,2023-08-17T14:50:58Z,18776.0,The Unlicense,7,,True,ytdl-org/youtube-dl,,388
labuladong,fucking-algorithm,117639,22548,2344,False,False,"[{'name': 'Markdown', 'size': 3254732}]",1,"[{'name': 'leetcode', 'stars': 191}, {'name': 'algorithms', 'stars': 397}, {'name': 'interview-questions', 'stars': 240}, {'name': 'data-structures', 'stars': 71595}, {'name': 'kmp', 'stars': 1}, {'name': 'dynamic-programming', 'stars': 25}, {'name': 'computer-science', 'stars': 487}, {'name': 'dynamic-programming-algorithm', 'stars': 3}]",8,125369,458,783,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",Markdown,2020-02-19T09:01:23Z,2023-08-17T04:53:39Z,464.0,,2,,True,labuladong/fucking-algorithm,,85
30-seconds,30-seconds-of-code,114772,11839,2611,False,False,"[{'name': 'JavaScript', 'size': 94}]",1,"[{'name': 'awesome-list', 'stars': 1706}, {'name': 'javascript', 'stars': 163762}, {'name': 'snippets', 'stars': 99}, {'name': 'snippets-collection', 'stars': 41}, {'name': 'learning-resources', 'stars': 92}, {'name': 'learn-to-code', 'stars': 388}, {'name': 'programming', 'stars': 1749}, {'name': 'education', 'stars': 535}, {'name': 'es6-javascript', 'stars': 20}, {'name': 'nodejs', 'stars': 74528}]",15,592925,1526,285,Short code snippets for all your development needs,JavaScript,2017-11-29T17:35:03Z,2023-08-17T13:10:27Z,9000.0,Creative Commons Attribution 4.0 International,2,Contributor Covenant,True,30-seconds/30-seconds-of-code,,388
practical-tutorials,project-based-learning,114086,15905,2357,False,False,[],0,"[{'name': 'tutorial', 'stars': 257}, {'name': 'project', 'stars': 138}, {'name': 'beginner-project', 'stars': 275}, {'name': 'webdevelopment', 'stars': 172}, {'name': 'python', 'stars': 277237}, {'name': 'javascript', 'stars': 163762}, {'name': 'cpp', 'stars': 117990}, {'name': 'golang', 'stars': 1856}]",8,438,339,80,Curated list of project-based tutorials,,2017-04-12T05:07:46Z,2023-08-12T04:32:51Z,570.0,MIT License,2,,True,practical-tutorials/project-based-learning,,100
golang,go,113683,16997,3462,False,False,"[{'name': 'Go', 'size': 42170579}, {'name': 'Assembly', 'size': 2733844}, {'name': 'HTML', 'size': 2621340}, {'name': 'C', 'size': 119558}, {'name': 'Shell', 'size': 63846}, {'name': 'Perl', 'size': 31433}, {'name': 'JavaScript', 'size': 20419}, {'name': 'Python', 'size': 15808}, {'name': 'Batchfile', 'size': 9547}, {'name': 'Dockerfile', 'size': 2789}]",12,"[{'name': 'programming-language', 'stars': 335}, {'name': 'language', 'stars': 2305}, {'name': 'go', 'stars': 58453}, {'name': 'golang', 'stars': 1856}]",4,324149,3183,57560,The Go programming language,Go,2014-08-19T04:33:40Z,2023-08-18T04:09:52Z,57595.0,"BSD 3-Clause ""New"" or ""Revised"" License",177,Other,True,golang/go,,386
facebook,react-native,111298,23714,3648,False,False,"[{'name': 'C++', 'size': 3751730}, {'name': 'Java', 'size': 3734922}, {'name': 'JavaScript', 'size': 2085049}, {'name': 'Objective-C++', 'size': 1554334}, {'name': 'Objective-C', 'size': 1340411}, {'name': 'Kotlin', 'size': 545374}, {'name': 'Ruby', 'size': 391091}, {'name': 'CMake', 'size': 82334}, {'name': 'TypeScript', 'size': 78694}, {'name': 'Shell', 'size': 77514}]",13,"[{'name': 'android', 'stars': 139799}, {'name': 'app-framework', 'stars': 33}, {'name': 'ios', 'stars': 40513}, {'name': 'mobile', 'stars': 20954}, {'name': 'mobile-development', 'stars': 78}, {'name': 'react-native', 'stars': 32955}, {'name': 'cross-platform', 'stars': 156}, {'name': 'react', 'stars': 95607}]",8,859121,13691,24770,A framework for building native applications using React,C++,2015-01-09T18:10:16Z,2023-08-18T08:42:10Z,28668.0,MIT License,297,Contributor Covenant,True,facebook/react-native,,315
vercel,next.js,110480,24551,1404,False,False,"[{'name': 'JavaScript', 'size': 16574010}, {'name': 'TypeScript', 'size': 8011793}, {'name': 'Rust', 'size': 1274855}, {'name': 'MDX', 'size': 223917}, {'name': 'CSS', 'size': 58008}, {'name': 'SCSS', 'size': 5943}, {'name': 'Shell', 'size': 4978}, {'name': 'Dockerfile', 'size': 4443}, {'name': 'Batchfile', 'size': 579}, {'name': 'Sass', 'size': 302}]",10,"[{'name': 'react', 'stars': 95607}, {'name': 'server-rendering', 'stars': 29}, {'name': 'universal', 'stars': 22}, {'name': 'node', 'stars': 603}, {'name': 'components', 'stars': 89}, {'name': 'browser', 'stars': 209}, {'name': 'nextjs', 'stars': 1264}, {'name': 'vercel', 'stars': 243}, {'name': 'static-site-generator', 'stars': 312}, {'name': 'hybrid', 'stars': 16}]",14,1854174,17196,17462,The React Framework,JavaScript,2016-10-05T23:32:51Z,2023-08-18T08:19:04Z,17057.0,MIT License,48,Other,True,vercel/next.js,,435
huggingface,transformers,110378,21909,1050,False,False,"[{'name': 'Python', 'size': 45604543}, {'name': 'Cuda', 'size': 204021}, {'name': 'Shell', 'size': 30374}, {'name': 'Dockerfile', 'size': 21068}, {'name': 'C++', 'size': 19093}, {'name': 'C', 'size': 7703}, {'name': 'Makefile', 'size': 3726}, {'name': 'Cython', 'size': 3635}, {'name': 'Jsonnet', 'size': 937}]",9,"[{'name': 'nlp', 'stars': 22118}, {'name': 'natural-language-processing', 'stars': 448}, {'name': 'pytorch', 'stars': 1036}, {'name': 'language-model', 'stars': 88}, {'name': 'tensorflow', 'stars': 35637}, {'name': 'bert', 'stars': 66}, {'name': 'language-models', 'stars': 19}, {'name': 'pytorch-transformers', 'stars': 12}, {'name': 'nlp-library', 'stars': 38}, {'name': 'transformer', 'stars': 83}]",20,162090,12778,12488,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,2018-10-29T13:56:00Z,2023-08-18T08:38:49Z,13732.0,Apache License 2.0,104,Contributor Covenant,True,huggingface/transformers,,433
